date,period,series,region,property_type,index,pct_1m,pct_3m,pct_12m
2007-07-01,2007-07,Dublin - apartments,Dublin,Apartments,178.6,0.0,0.4,3.8
2007-07-01,2007-07,Dublin - houses,Dublin,Houses,153.4,0.7,-0.9,3.2
2007-07-01,2007-07,National - all residential properties,National,All residential,163.2,0.3,-0.3,6.2
2007-07-01,2007-07,National - apartments,National,Apartments,188.7,-0.5,-0.4,5.4
2007-07-01,2007-07,National - houses,National,Houses,159.4,0.4,-0.4,6.5
2007-07-01,2007-07,National excluding Dublin - all residential properties,National excluding Dublin,All residential,183.1,0.1,-0.3,7.9
2007-07-01,2007-07,National excluding Dublin - apartments,National excluding Dublin,Apartments,237.3,-1.2,-0.5,6.3
2007-07-01,2007-07,National excluding Dublin - houses,National excluding Dublin,Houses,180.2,0.2,-0.2,8.0
2007-08-01,2007-08,Dublin - all residential properties,Dublin,All residential,157.7,-0.5,0.3,-0.2
2007-08-01,2007-08,Dublin - apartments,Dublin,Apartments,178.5,0.0,-0.6,1.0
2007-08-01,2007-08,Dublin - houses,Dublin,Houses,152.3,-0.7,0.4,-0.4
2007-08-01,2007-08,National - all residential properties,National,All residential,162.8,-0.2,-0.1,3.7
2007-08-01,2007-08,National - apartments,National,Apartments,188.3,-0.2,-1.0,3.2
2007-08-01,2007-08,National - houses,National,Houses,159.0,-0.2,-0.1,3.9
2007-08-01,2007-08,National excluding Dublin - all residential properties,National excluding Dublin,All residential,183.0,0.0,-0.4,5.9
2007-08-01,2007-08,National excluding Dublin - apartments,National excluding Dublin,Apartments,237.3,0.0,-0.9,5.2
2007-08-01,2007-08,National excluding Dublin - houses,National excluding Dublin,Houses,180.2,0.0,-0.3,6.0
2007-09-01,2007-09,Dublin - all residential properties,Dublin,All residential,157.9,0.2,0.2,-0.2
2007-09-01,2007-09,Dublin - apartments,Dublin,Apartments,176.9,-0.9,-1.0,-1.6
2007-09-01,2007-09,Dublin - houses,Dublin,Houses,153.3,0.7,0.6,0.4
2007-09-01,2007-09,National - all residential properties,National,All residential,162.9,0.0,0.1,2.8
2007-09-01,2007-09,National - apartments,National,Apartments,187.1,-0.7,-1.4,0.8
2007-09-01,2007-09,National - houses,National,Houses,159.2,0.1,0.3,3.3
2007-09-01,2007-09,National excluding Dublin - all residential properties,National excluding Dublin,All residential,182.9,-0.1,0.0,4.6
2007-09-01,2007-09,National excluding Dublin - apartments,National excluding Dublin,Apartments,237.3,0.0,-1.2,3.3
2007-09-01,2007-09,National excluding Dublin - houses,National excluding Dublin,Houses,180.0,-0.1,0.1,4.7
2007-10-01,2007-10,Dublin - all residential properties,Dublin,All residential,158.0,0.0,-0.3,-0.8
